timestamp,estacao,classe_detectada,status,tempo_ciclo_s
2026-09-10T18:17:16.754127,camada_verde,base,ALERTA_CAMADA_INCORRETA,3.64
2026-09-10T18:17:19.896929,camada_verde,base,ALERTA_CAMADA_INCORRETA,3.15
2026-09-10T18:17:22.905646,camada_verde,base,ALERTA_CAMADA_INCORRETA,3.01
2026-09-10T18:17:25.993963,camada_verde,base,ALERTA_CAMADA_INCORRETA,3.09
2026-09-10T18:17:29.106467,camada_verde,base,ALERTA_CAMADA_INCORRETA,3.11
2026-09-10T18:17:32.223950,camada_verde,base,ALERTA_CAMADA_INCORRETA,3.12
2026-09-10T18:17:35.313506,camada_verde,base,ALERTA_CAMADA_INCORRETA,3.09
2026-09-10T18:17:38.324623,camada_verde,base,ALERTA_CAMADA_INCORRETA,3.01
2026-09-10T18:17:41.486791,camada_verde,base,ALERTA_CAMADA_INCORRETA,3.16
2026-09-10T18:17:44.562326,camada_verde,base,ALERTA_CAMADA_INCORRETA,3.08
2026-09-10T18:17:47.575788,camada_verde,base,ALERTA_CAMADA_INCORRETA,3.01
2026-09-10T18:17:50.579441,camada_verde,base,ALERTA_CAMADA_INCORRETA,3.00
2026-09-10T18:17:53.601961,camada_verde,base,ALERTA_CAMADA_INCORRETA,3.02
2026-09-10T18:17:56.653995,camada_verde,base,ALERTA_CAMADA_INCORRETA,3.05
2026-09-10T18:17:59.768555,camada_verde,base,ALERTA_CAMADA_INCORRETA,3.11
2026-09-10T18:18:02.865074,camada_verde,base,ALERTA_CAMADA_INCORRETA,3.09
2026-09-10T18:18:05.865904,camada_verde,base,ALERTA_CAMADA_INCORRETA,3.01
2026-09-10T18:18:08.953220,camada_verde,base,ALERTA_CAMADA_INCORRETA,3.09
2026-09-10T18:18:12.061493,camada_verde,base,ALERTA_CAMADA_INCORRETA,3.11
2026-09-10T18:18:15.163653,camada_verde,base,ALERTA_CAMADA_INCORRETA,3.10
2026-09-10T18:18:18.307269,camada_verde,base,ALERTA_CAMADA_INCORRETA,3.14
2026-09-10T18:18:21.405090,camada_verde,base,ALERTA_CAMADA_INCORRETA,3.10
2026-09-10T18:18:24.578465,camada_verde,base,ALERTA_CAMADA_INCORRETA,3.17
2026-09-10T18:18:27.733177,camada_verde,base,ALERTA_CAMADA_INCORRETA,3.15
2026-09-10T18:18:30.775917,camada_verde,base,ALERTA_CAMADA_INCORRETA,3.04
2026-09-10T18:18:33.934095,camada_verde,base,ALERTA_CAMADA_INCORRETA,3.16
2026-09-10T18:18:37.055687,camada_verde,base,ALERTA_CAMADA_INCORRETA,3.12
2026-09-10T18:19:04.360499,camada_verde,base,ALERTA_CAMADA_INCORRETA,2.95
2026-09-10T18:19:07.364177,camada_verde,base,ALERTA_CAMADA_INCORRETA,3.00
2026-09-10T18:19:10.388073,camada_verde,base,ALERTA_CAMADA_INCORRETA,3.02
2026-09-10T18:21:22.432535,camada_verde,base,ALERTA_CAMADA_INCORRETA,3.88
2026-09-10T18:21:25.518626,camada_verde,base,ALERTA_CAMADA_INCORRETA,3.08
2026-09-10T18:21:28.531209,camada_verde,base,ALERTA_CAMADA_INCORRETA,3.02
2026-09-10T18:21:31.647251,camada_verde,base,ALERTA_CAMADA_INCORRETA,3.11
2026-09-10T18:21:52.402932,camada_vermelha,base,ALERTA_CAMADA_INCORRETA,2.64
2026-09-10T18:21:55.506035,camada_vermelha,base,ALERTA_CAMADA_INCORRETA,3.10
2026-09-10T18:21:58.574648,camada_vermelha,base,ALERTA_CAMADA_INCORRETA,3.07
2026-09-10T18:22:01.612012,camada_vermelha,base,ALERTA_CAMADA_INCORRETA,3.04
2026-09-10T18:22:04.696681,camada_vermelha,base,ALERTA_CAMADA_INCORRETA,3.09
2026-09-10T18:22:07.805340,camada_vermelha,base,ALERTA_CAMADA_INCORRETA,3.11
2026-09-10T18:22:10.807271,camada_vermelha,base,ALERTA_CAMADA_INCORRETA,3.00
2026-09-10T18:22:13.959173,camada_vermelha,base,ALERTA_CAMADA_INCORRETA,3.15
2026-09-10T18:22:17.087509,camada_vermelha,base,ALERTA_CAMADA_INCORRETA,3.13
2026-09-10T18:22:20.130106,camada_vermelha,base,ALERTA_CAMADA_INCORRETA,3.04
2026-09-10T18:22:23.231478,camada_vermelha,base,ALERTA_CAMADA_INCORRETA,3.10
2026-09-10T18:22:26.306978,camada_vermelha,base,ALERTA_CAMADA_INCORRETA,3.08
2026-09-10T18:22:29.385955,camada_vermelha,base,ALERTA_CAMADA_INCORRETA,3.07
2026-09-10T18:22:32.383081,camada_vermelha,base,ALERTA_CAMADA_INCORRETA,3.01
2026-09-10T18:22:35.525067,camada_vermelha,base,ALERTA_CAMADA_INCORRETA,3.14
2026-09-10T18:22:38.557650,camada_vermelha,base,ALERTA_CAMADA_INCORRETA,3.04
2026-09-10T18:22:41.698905,camada_vermelha,base,ALERTA_CAMADA_INCORRETA,3.14
2026-09-10T18:22:44.702932,camada_vermelha,base,ALERTA_CAMADA_INCORRETA,3.00
